trial_type,time_elapsed,rt,key_press,condition,next_reward,responses,planet,curr_prac_trial,n_prac_rounds,button_pressed,alien,aliens,reward_received,decay_rate_actual,decay_rate_exp,time_in_block,block_num,prt,last_trial_on_planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,578429,null,null,,17,,11,,,,,,89,0.190810886,0.191011236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,578759,328.2,65,,17,,11,,,,,,,,,221089,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,580439,,,,,[],11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,581941,null,null,,3,,11,,,,,,17,0.169058973,0.176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,581963,20.19999999,76,,3,,11,,,,,,,,,224293,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,591939,,,,,[],11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,596940,null,null,,,,,,,,22,54,38,81,4,69,40,31,14,118,49,87,104,12,65,43,32,28,25,62,8,103,46,117,39,66,113,61,97,23,26,72,74,93,119,86,18,2,45,94,52,105,95,21,13,70,120,112,82,116,1,78,30,37,68,90,41,73,42,88,36
land,597442,null,null,,100,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,599447,,,,,[],12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,600948,null,null,,19,,12,,,,,,100,0.191291688,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,601054,105.1,65,,19,,12,,,,,,,,,243384,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,602952,,,,,[],12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,604455,null,null,,2,,12,,,,,,19,0.115692135,0.105263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,604529,73.70000002,65,,2,,12,,,,,,,,,246860,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,606461,,,,,[],12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,607964,null,null,,0,,12,,,,,,2,0.185276332,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
